collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_872;XIUJIANGYI Jiangxi (秀江驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_140904;;114.431778;27.841372;N;MDYZK;
courier;cou_873;BAISHAYI Jiangxi (白沙驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_141227;;115.093897;27.327516;Y;MDYZK;
courier;cou_874;ZAOKOUYI Jiangxi (皂口驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_141358;;114.905912;26.322424;Y;MDYZK;
courier;cou_875;YOUZHENYI Jiangxi (攸镇驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_142153;;114.905495;26.129812;Y;MDYZK;
courier;cou_876;XIAOXIYI Jiangxi (小溪驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_19372;;114.550178;25.485346;Y;MDYZK;
courier;cou_877;WUYANGYI Jiangxi (武阳驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_140394;;116.003492;28.526974;Y;MDYZK;
courier;cou_878;KONGJIADUYI Jiangxi (孔家渡驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_800;;116.351341;27.984781;N;MDYZK;
courier;cou_879;GANJIANGYI Jiangxi (旰江驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_825;;116.627449;27.559717;Y;MDYZK;
courier;cou_880;SHANGUANYI Fujian (杉关驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_137550;;117.118839;27.683653;N;MDYZK;
courier;cou_881;HANGCHUANYI Fujian (杭川驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_40273;;117.333252;27.539524;Y;MDYZK;
courier;cou_882;QIAOCHUANYI Fujian (樵川驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_40272;;117.483398;27.337692;Y;MDYZK;
courier;cou_883;NAKOUYI Fujian (拏口驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16063;;117.642815;27.146669;Y;MDYZK;
courier;cou_884;WANGTAIYI Fujian (王台驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16118;;117.965301;26.637531;N;MDYZK;
courier;cou_885;SHUANGFENGYI Fujian (双峰驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_40309;;117.806003;26.796716;Y;MDYZK;
courier;cou_886;FUTUNYI Fujian (富屯驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16109;;117.771437;26.932634;Y;MDYZK;
courier;cou_887;CHAYANGYI Fujian (茶洋驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16125;;118.409354;26.514273;Y;MDYZK;
courier;cou_888;SHUIKOUYI Fujian (水口驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16133;;118.761289;26.359176;Y;MDYZK;
courier;cou_889;DATIANYI Fujian (大田驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_137014;;119.335979;25.876643;Y;MDYZK;
courier;cou_890;FUQINGYI Fujian (福清);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_40198;;119.381439;25.727917;Y;MDYZK;
