id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
10;10;auscius;Auscius;;;;Climberrum, Augusta, Auscorum;Auch;8;league;;http://pleiades.stoa.org/places/246379;Elimberrum|Elimberrum, Auch|Auch
311;311;aser;Aser;;;;;;6;mile;;http://pleiades.stoa.org/places/678034;Aser|Aser, Tayasir (Samaria)
91;91;pataui;Patavium;;;;;Padua;10;mile;;http://pleiades.stoa.org/places/393473;Patavium|Patavium, Padova|Padova
12;12;hungunuerro;Hungunverrum;;Hungunerru;;;;7;league;;http://pleiades.stoa.org/places/246420;Hungunverro|Hungunverro, La Tonguère
276;276;palatium dafne;Palace of Daphne;;;;;Beit el Ma;5;mile;;http://pleiades.stoa.org/places/658450;Daphne|Daphne, Harbiye
13;13;bucconis;Buccones;Bucconia;;;;L'Isle en Jourdain?;7;league;;http://pleiades.stoa.org/places/246260;Bucconis|Bucconis, Forêt de Bouconne
152;152;munecipio;Municipium;;;;;;9;mile;;http://pleiades.stoa.org/places/207296;Municipium|Municipium, Kalište, Malo Crniće
216;216;hyribolum;Egribolum;;;Hiribolum;;;10;mile;;http://pleiades.stoa.org/places/511253;Eribolon|Eribolon, Yeniköy
94;94;altino;Altinum;;;;;Altino;9;mile;;http://pleiades.stoa.org/places/393374;Altinum|Altinum, Altino, Quarto d'Altino
277;277;hysdata;Hysdata;;Stadata;;;;11;mile;;http://pleiades.stoa.org/places/658483;Hydatos Potamoi/Seleukeia Pieria|Seleukeia Pieria/Hydatos Potamoi, Çevlik
217;217;libum;Libum;;;;;;11;mile;;http://pleiades.stoa.org/places/511304;Libum|Libum, near Senaiye
153;153;iouis pago;Jovis Pagus;;;;;Glagowaz?;10;mile;;http://pleiades.stoa.org/places/207189;Iovis Pagus|Iovis Pagus, Veliki Popovac
14;14;ad iouem;Temple of Jupiter;;;;;;7;league;;http://pleiades.stoa.org/places/246136;Ad Iovem|Ad Iovem, Pibrac
95;95;sanos;Sanus;Sanos;;;;;10;mile;;http://pleiades.stoa.org/places/393369;Ad Sanos|Ad Sanos, Santo Stino di Livenza
218;218;liada;Liada;;;;;;12;mile;;http://pleiades.stoa.org/places/511302;‘Liada’|‘Liada’, near Sarıağıl
154;154;bao;Bao;;;;;;7;mile;;http://pleiades.stoa.org/places/206958;‘Bao’|‘Bao’, Veliko Laole?
15;15;tholosa;Tolosa;;;;;Toulouse;7;league;;http://pleiades.stoa.org/places/246694;Purpan|Purpan-Ancely|Tolosa|Tolosa, Toulouse|Toulouse
96;96;concordia;Concordia;;;;;Concordia;9;mile;;http://pleiades.stoa.org/places/393441;Iulia Concordia|Iulia Concordia, Concordia Sagittaria|Concordia Sagittaria
219;219;nicia;Nicia;;;Nicæa;;Isnik;9;mile;;http://pleiades.stoa.org/places/511268;Helikore/Nicaea|Nicaea/Helikore, İznik
155;155;idomo;Idomum;;;;Idimus;;9;mile;;http://pleiades.stoa.org/places/207183;Idimum|Idimum, Medveđa
97;97;apicilia;Picilia;;Pacilia;;;;9;mile;;http://pleiades.stoa.org/places/187287;‘Apicilia’|‘Apicilia’, Latisanotta, Latisana
220;220;schinae;Schine;;;;;;8;mile;;http://pleiades.stoa.org/places/511412;‘Schinae’|‘Schinae’, Karadin
17;17;ad vicesimum;20th milestone;;;;;;11;mile;;http://pleiades.stoa.org/places/246143;Ad Vicesimum|Ad Vicesimum, L’Hôpital
281;281;ladica;Ladica;;Ladesca;;Laodicea;Latakieh;16;mile;;http://pleiades.stoa.org/places/668290;Laodicea|Laodicea, Latakia
